	24	48	72
intensity	12501.355036082197	22094.459770361853	30259.603056414373
runtime	0.12676	0.07092	0.05568
timestamp	(1583.62, 1710.38)	(3430.22, 3501.14)	(5151.0, 5206.68)
energy	5229.416822433472	5170.898986816406	5560.020503997802
