	24	48	72
intensity	11626.792241291827	20179.622027338766	26585.929624495966
runtime	0.00664	0.00392	0.0031
timestamp	(1518.24, 1524.88)	(2702.42, 2706.34)	(3880.86, 3883.96)
energy	254.7662715911865	261.0435905456543	271.9740600585937
